crop_size,method,f1_mean,f1_std,mAP50_mean,mAP50_std,mAP75_mean,mAP75_std,mAP_mean,mAP_std,precision_mean,precision_std,recall_mean,recall_std
50000,sahi_lsnms,0.7900033875359918,0.025735714527771042,0.8099449481070016,0.027848823885068968,0.5995988481566606,0.03238689990075492,0.5252985588782925,0.02409127704856273,0.7016763286335527,0.029437033383086193,0.9039351288901422,0.018945952503266302
50000,sahi_nmm,0.805695817825033,0.026264344393946374,0.8424994585146165,0.03236861780129019,0.6918941776313794,0.04099128275306022,0.5783535679302377,0.028051231480909305,0.7175252579083725,0.03029542870806525,0.9187469626866935,0.019066167093332715
50000,sahi_nms,0.7900033875359918,0.025735714527771042,0.8099449481070016,0.027848823885068968,0.5995990055082582,0.03238716493483624,0.5252983994731766,0.02409166918922402,0.7016763286335527,0.029437033383086193,0.9039351288901422,0.018945952503266302
50000,spm_global,0.8735073653387179,0.021679530970405456,0.8780870851157667,0.025102880757294492,0.7274384478698609,0.033395880782973474,0.607981476456889,0.022185774172042257,0.8508059179303936,0.022256545879049246,0.8974756895754412,0.021651299599708324
50000,spm_seam_only,0.8680622312534337,0.021601785013107222,0.8867523542110832,0.025309879105286686,0.7359917946617011,0.03323248838447972,0.614690250756146,0.022304974092570033,0.8334831744374864,0.021998898595623963,0.9056571313727441,0.021685759734395044
100000,sahi_greedy_nmm,0.7687680942397923,,0.8287809267523731,,0.6934952111167083,,0.5840227686302976,,0.6621453138435082,,0.916319609709662,
100000,sahi_lsnms,0.7786824506516007,0.02049370621819788,0.8114770490369215,0.011723246846207796,0.6018212019434097,0.012848709566457344,0.5277215937578323,0.008665578807761549,0.6833481395920029,0.02881181397465239,0.9054151285449706,0.005112349763070148
100000,sahi_nms,0.7561645203154638,,0.8010481729979037,,0.5928546365696686,,0.5236721703189623,,0.6512897678417885,,0.9012970014278916,
100000,spm_global,0.8661368572524127,0.014688380895500624,0.8778245128476355,0.007793200207224697,0.733379159153893,0.015382171918330998,0.6153746836529083,0.009922160605040812,0.8355120507436843,0.02181261313938621,0.8992296298648957,0.008346499875068532
100000,spm_seam_only,0.8617955108967107,0.013313699135974797,0.8868126655813654,0.007693695866157953,0.7421366899971408,0.015325331518674951,0.6221796645360825,0.009874971032282655,0.8199444564312413,0.01957510108667569,0.9082696504202169,0.007392947263372547
